Rank,Name,Nationality,Position,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempts,Defensive Linebreaks Accuracy (%),Switches Of Play Attempts,Switches Of Play Accuracy (%)
1023,Viktor Johansson,SWE,GK,0,0,0,0,0,0,0,0,0,0
1023,Herman Johansson,SWE,DF,0,0,0,0,0,0,0,0,0,0
1023,Aurele Amenda,SUI,DF,0,0,0,0,0,0,0,0,0,0
1023,Paul Izzo,AUS,GK,0,0,0,0,0,0,0,0,0,0
1023,Alex Paulsen,NZL,GK,0,0,0,0,0,0,0,0,0,0
1023,Jan Kuchta,CZE,FW,0,0,0,0,0,0,0,0,0,0
1023,Borja Iglesias,ESP,FW,0,0,0,0,0,0,0,0,0,0
1023,Michael Woud,NZL,GK,0,0,0,0,0,0,0,0,0,0
1023,Milos Degenek,AUS,DF,0,0,0,0,0,0,0,0,0,0
1023,Yvon Mvogo,SUI,GK,0,0,0,0,0,0,0,0,0,0
1023,Mert Gunok,TUR,GK,0,0,0,0,0,0,0,0,0,0
1023,Alex Grimaldo,ESP,DF,0,0,0,0,0,0,0,0,0,0
1023,Dominic Hyam,SCO,DF,0,0,0,0,0,0,0,0,0,0
1023,George Hirst,SCO,FW,0,0,0,0,0,0,0,0,0,0
1023,Alex Rufer,NZL,MF,0,0,0,0,0,0,0,0,0,0
1023,Lachlan Bayliss,NZL,MF,0,0,0,0,0,0,0,0,0,0
1023,Lukas Hornicek,CZE,GK,0,0,0,0,0,0,0,0,0,0
1023,David Jurasek,CZE,DF,0,0,0,0,0,0,0,0,0,0
1023,John Souttar,SCO,DF,0,0,0,0,0,0,0,0,0,0
1023,Tyler Fletcher,SCO,MF,0,0,0,0,0,0,0,0,0,0
1023,Nando Pijnaker,NZL,DF,0,0,0,0,0,0,0,0,0,0
1023,Avazbek Ulmasaliyev,UZB,DF,0,0,0,0,0,0,0,0,0,0
1023,Cameron Devlin,AUS,MF,0,0,0,0,0,0,0,0,0,0
1023,Jindrich Stanek,CZE,GK,0,0,0,0,0,0,0,0,0,0
1023,Ross Stewart,SCO,FW,0,0,0,0,0,0,0,0,0,0
1023,Deniz Gul,TUR,FW,0,0,0,0,0,0,0,0,0,0
1023,Umar Eshmurodov,UZB,DF,0,0,0,0,0,0,0,0,0,0
1023,Samet Akaydin,TUR,DF,0,0,0,0,0,0,0,0,0,0
1023,David Raya,ESP,GK,0,0,0,0,0,0,0,0,0,0
1023,Ben Waine,NZL,FW,0,0,0,0,0,0,0,0,0,0
1023,Victor Munoz,ESP,FW,0,0,0,0,0,0,0,0,0,0
1023,Botirali Ergashev,UZB,GK,0,0,0,0,0,0,0,0,0,0
1023,Woodensky Pierre,HAI,MF,0,0,0,0,0,0,0,0,0,0
1023,Moutaz Neffati,TUN,DF,0,0,0,0,0,0,0,0,0,0
1023,Alexandre Pierre,HAI,GK,0,0,0,0,0,0,0,0,0,0
1023,Augustine Boakye,GHA,MF,0,0,0,0,0,0,0,0,0,0
1023,Carl Sainte,HAI,MF,0,0,0,0,0,0,0,0,0,0
1023,Ahmed Reda Tagnaouti,MAR,GK,0,0,0,0,0,0,0,0,0,0
1023,Youssef Belammari,MAR,DF,0,0,0,0,0,0,0,0,0,0
1023,Antoine Mendy,SEN,DF,0,0,0,0,0,0,0,0,0,0
1023,Olwethu Makhanya,RSA,DF,0,0,0,0,0,0,0,0,0,0
1023,Samukele Kabini,RSA,DF,0,0,0,0,0,0,0,0,0,0
1023,Markhus Lacroix,HAI,DF,0,0,0,0,0,0,0,0,0,0
1023,Raed Chikhaoui,TUN,DF,0,0,0,0,0,0,0,0,0,0
1023,Wilguens Paugain,HAI,DF,0,0,0,0,0,0,0,0,0,0
1023,Sabri Ben Hessen,TUN,GK,0,0,0,0,0,0,0,0,0,0
1023,Cherif Ndiaye,SEN,FW,0,0,0,0,0,0,0,0,0,0
1023,Yehvann Diouf,SEN,GK,0,0,0,0,0,0,0,0,0,0
1023,Tarek Alaa,EGY,DF,0,0,0,0,0,0,0,0,0,0
1023,Adam Arous,TUN,DF,0,0,0,0,0,0,0,0,0,0
1023,Khulumani Ndamane,RSA,DF,0,0,0,0,0,0,0,0,0,0
1023,Abdul Mumin,GHA,DF,0,0,0,0,0,0,0,0,0,0
1023,Dayne St Clair,CAN,GK,0,0,0,0,0,0,0,0,0,0
1023,Bradley Cross,RSA,DF,0,0,0,0,0,0,0,0,0,0
1023,Joseph Anang,GHA,GK,0,0,0,0,0,0,0,0,0,0
1023,Alfie Jones,CAN,DF,0,0,0,0,0,0,0,0,0,0
1023,Thabang Matuludi,RSA,DF,0,0,0,0,0,0,0,0,0,0
1023,Nabil Donga,EGY,MF,0,0,0,0,0,0,0,0,0,0
1023,Mohamed Alaa,EGY,GK,0,0,0,0,0,0,0,0,0,0
1023,Mohamed Elshenawy,EGY,GK,0,0,0,0,0,0,0,0,0,0
1023,Owen Goodman,CAN,GK,0,0,0,0,0,0,0,0,0,0
1023,Josue Duverger,HAI,GK,0,0,0,0,0,0,0,0,0,0
1023,Mamadou Sarr,SEN,DF,0,0,0,0,0,0,0,0,0,0
1023,Alban Lafont,CIV,GK,0,0,0,0,0,0,0,0,0,0
1023,Mahdy Soliman,EGY,GK,0,0,0,0,0,0,0,0,0,0
1023,Munir El Kajoui,MAR,GK,0,0,0,0,0,0,0,0,0,0
1023,Ricardo Goss,RSA,GK,0,0,0,0,0,0,0,0,0,0
1023,Khalil Ayari,TUN,MF,0,0,0,0,0,0,0,0,0,0
1023,Mohamed Kone,CIV,GK,0,0,0,0,0,0,0,0,0,0
1023,Kelvin Pires,CPV,DF,0,0,0,0,0,0,0,0,0,0
1023,Christopher Bonsu Baah,GHA,FW,0,0,0,0,0,0,0,0,0,0
1023,Garven Metusala,HAI,DF,0,0,0,0,0,0,0,0,0,0
1023,Joel Waterman,CAN,DF,0,0,0,0,0,0,0,0,0,0
1023,Sipho Chaine,RSA,GK,0,0,0,0,0,0,0,0,0,0
1023,Parfait Guiagon,CIV,MF,0,0,0,0,0,0,0,0,0,0
1023,Rayan Elloumi,TUN,FW,0,0,0,0,0,0,0,0,0,0
1023,Baba Rahman,GHA,DF,0,0,0,0,0,0,0,0,0,0
1023,Evan Ndicka,CIV,DF,0,0,0,0,0,0,0,0,0,0
1023,Sander Tangvik,NOR,GK,0,0,0,0,0,0,0,0,0,0
1023,Oliver Baumann,GER,GK,0,0,0,0,0,0,0,0,0,0
1023,Marcus Thuram,FRA,FW,0,0,0,0,0,0,0,0,0,0
1023,Goncalo Guedes,POR,FW,0,0,0,0,0,0,0,0,0,0
1023,Koni De Winter,BEL,DF,0,0,0,0,0,0,0,0,0,0
1023,Assan Ouedraogo,GER,MF,0,0,0,0,0,0,0,0,0,0
1023,Florian Wiegele,AUT,GK,0,0,0,0,0,0,0,0,0,0
1023,Goncalo Inacio,POR,DF,0,0,0,0,0,0,0,0,0,0
1023,Dominik Kotarski,CRO,GK,0,0,0,0,0,0,0,0,0,0
1023,Patrick Pentz,AUT,GK,0,0,0,0,0,0,0,0,0,0
1023,Ivor Pandur,CRO,GK,0,0,0,0,0,0,0,0,0,0
1023,Nikola Moro,CRO,MF,0,0,0,0,0,0,0,0,0,0
1023,Mats Wieffer,NED,DF,0,0,0,0,0,0,0,0,0,0
1023,Toni Fruk,CRO,MF,0,0,0,0,0,0,0,0,0,0
1023,Mark Flekken,NED,GK,0,0,0,0,0,0,0,0,0,0
1023,Ngolo Kante,FRA,MF,0,0,0,0,0,0,0,0,0,0
1023,Kristijan Jakic,CRO,DF,0,0,0,0,0,0,0,0,0,0
1023,Alexander Nuebel,GER,GK,0,0,0,0,0,0,0,0,0,0
1023,Trevoh Chalobah,ENG,DF,0,0,0,0,0,0,0,0,0,0
1023,Martin Erlic,CRO,DF,0,0,0,0,0,0,0,0,0,0
1023,David Affengruber,AUT,DF,0,0,0,0,0,0,0,0,0,0
1023,Zeno Debast,BEL,DF,0,0,0,0,0,0,0,0,0,0
1023,Lucas Hernandez,FRA,DF,0,0,0,0,0,0,0,0,0,0
1023,Mike Penders,BEL,GK,0,0,0,0,0,0,0,0,0,0
1023,Kobbie Mainoo,ENG,MF,0,0,0,0,0,0,0,0,0,0
1023,Brice Samba,FRA,GK,0,0,0,0,0,0,0,0,0,0
1023,Rui Silva,POR,GK,0,0,0,0,0,0,0,0,0,0
1023,Lutsharel Geertruida,NED,DF,0,0,0,0,0,0,0,0,0,0
1023,Jose Sa,POR,GK,0,0,0,0,0,0,0,0,0,0
1023,James Trafford,ENG,GK,0,0,0,0,0,0,0,0,0,0
1023,Alessandro Schoepf,AUT,MF,0,0,0,0,0,0,0,0,0,0
1023,Robin Risser,FRA,GK,0,0,0,0,0,0,0,0,0,0
1023,Robin Roefs,NED,GK,0,0,0,0,0,0,0,0,0,0
1023,Duje Caleta Car,CRO,DF,0,0,0,0,0,0,0,0,0,0
1023,Michael Svoboda,AUT,DF,0,0,0,0,0,0,0,0,0,0
1023,Dejan Ljubicic,AUT,MF,0,0,0,0,0,0,0,0,0,0
1023,Craig Gordon,SCO,GK,0,0,0,0,0,0,0,0,0,0
1023,Giorgian De Arrascaeta,URU,MF,0,0,0,0,0,0,0,0,0,0
1023,Emiliano Martinez,URU,MF,0,0,0,0,0,0,0,0,0,0
1023,Alvaro Montero,COL,GK,0,0,0,0,0,0,0,0,0,0
1023,Edgardo Farina,PAN,DF,0,0,0,0,0,0,0,0,0,0
1023,Juan Musso,ARG,GK,0,0,0,0,0,0,0,0,0,0
1023,Roderick Miller,PAN,DF,0,0,0,0,0,0,0,0,0,0
1023,Leo Pereira,BRA,DF,0,0,0,0,0,0,0,0,0,0
1023,Joaquin Piquerez,URU,MF,0,0,0,0,0,0,0,0,0,0
1023,Jose Maria Gimenez,URU,DF,0,0,0,0,0,0,0,0,0,0
1023,Cesar Samudio,PAN,GK,0,0,0,0,0,0,0,0,0,0
1023,Gatito Fernandez,PAR,GK,0,0,0,0,0,0,0,0,0,0
1023,David Ospina,COL,GK,0,0,0,0,0,0,0,0,0,0
1023,Santiago Mele,URU,GK,0,0,0,0,0,0,0,0,0,0
1023,Santiago Bueno,URU,DF,0,0,0,0,0,0,0,0,0,0
1023,Moises Ramirez,ECU,GK,0,0,0,0,0,0,0,0,0,0
1023,Chris Brady,USA,GK,0,0,0,0,0,0,0,0,0,0
1023,Facundo Pellistri,URU,FW,0,0,0,0,0,0,0,0,0,0
1023,Gonzalo Valle,ECU,GK,0,0,0,0,0,0,0,0,0,0
1023,Luis Mejia,PAN,GK,0,0,0,0,0,0,0,0,0,0
1023,Cesar Yanis,PAN,MF,0,0,0,0,0,0,0,0,0,0
1023,Max Arfsten,USA,DF,0,0,0,0,0,0,0,0,0,0
1023,Juan Portilla,COL,MF,0,0,0,0,0,0,0,0,0,0
1023,Ronald Araujo,URU,DF,0,0,0,0,0,0,0,0,0,0
1023,Weverton,BRA,GK,0,0,0,0,0,0,0,0,0,0
1023,Denil Castillo,ECU,MF,0,0,0,0,0,0,0,0,0,0
1023,Carlos Acevedo,MEX,GK,0,0,0,0,0,0,0,0,0,0
1023,Rodrigo Zalazar,URU,MF,0,0,0,0,0,0,0,0,0,0
1023,Geronimo Rulli,ARG,GK,0,0,0,0,0,0,0,0,0,0
1023,Keeto Thermoncy,HAI,DF,0,0,0,0,0,0,0,0,0,0
1023,Jeremy Arevalo,ECU,FW,0,0,0,0,0,0,0,0,0,0
1023,Cristian Roldan,USA,MF,0,0,0,0,0,0,0,0,0,0
1023,Gaston Olveira,PAR,GK,0,0,0,0,0,0,0,0,0,0
1023,Ederson,BRA,GK,0,0,0,0,0,0,0,0,0,0
1023,Adalberto Carrasquilla,PAN,MF,0,0,0,0,0,0,0,0,0,0
1023,Felix Torres,ECU,DF,0,0,0,0,0,0,0,0,0,0
1023,Andres Gomez,COL,FW,0,0,0,0,0,0,0,0,0,0
1023,Anthony Valencia,ECU,MF,0,0,0,0,0,0,0,0,0,0
1023,Willer Ditta,COL,DF,0,0,0,0,0,0,0,0,0,0
1023,Fabian Balbuena,PAR,DF,0,0,0,0,0,0,0,0,0,0
1023,Bremer,BRA,DF,0,0,0,0,0,0,0,0,0,0
1023,Jorge Carrascal,COL,MF,0,0,0,0,0,0,0,0,0,0
1023,Martin Zlomislic,BIH,GK,0,0,0,0,0,0,0,0,0,0
1023,Tyrick Bodak,CUW,GK,0,0,0,0,0,0,0,0,0,0
1023,Arjany Martha,CUW,MF,0,0,0,0,0,0,0,0,0,0
1023,Mladen Jurkas,BIH,GK,0,0,0,0,0,0,0,0,0,0
1023,Kevin Felida,CUW,MF,0,0,0,0,0,0,0,0,0,0
1023,Trevor Doornbusch,CUW,GK,0,0,0,0,0,0,0,0,0,0
